word,count
사절,2
꽈배기,2
참조,2
꽃동산,2
사월,2
프로그램,2
전시물,2
국어,2
사갈,2
비빔,2
의,2
뿐,2
뻥튀기,2
플래너,2
카눈,2
처,2
비추,2
물관,2
침대,2
비수기,2
부여,2
밀레니엄,2
구용,2
그룹,2
보거,2
기대,2
초딩,2
전국,2
초반,2
기한,2
감영,2
기림사,2
간격,2
기말고사,2
월화,2
벨,2
베테랑,2
베어,2
베스트,2
기타,2
촬영,2
유네스코,2
기전,2
감명,2
기억,2
기상,2
백,2
추천장,2
월성,2
월드컵,2
바탕,2
밀집,2
밋,2
유튜브,2
봉황대,2
근교,2
원본,2
바람,2
봄바람,2
청,2
바이러스,2
전동,2
체력,2
본점,2
유용,2
청도,2
기회,2
전남,2
청연,2
금,2
보존,2
유산,2
피해,2
사찰,2
책자,2
사투리,2
샵,2
전현무,2
풍경,2
성지,2
성수기,2
직장,2
성미,2
성동,2
가시,2
성균관,2
먹방,2
성,2
멀,2
이곳,2
케이크,2
케이블카,2
석빙고,2
갠,2
이걸,2
나름,2
구경거리,2
욥,2
집중,2
회,2
세염,2
품평,2
세일,2
만족도,2
속초,2
건너편,2
이맘때,2
이름,2
장거리,2
소통,2
외곽,2
소유,2
콘,2
코오롱,2
낙동강,2
지정,2
이동해,2
소담,2
소노,2
해염,2
전후,2
소,2
이동은,2
셋,2
이동수,2
지점,2
전주술,2
패딩,2
상,2
개화,2
캐리,2
모주,2
구미,2
풍년제,2
목적,2
산림,2
차이,2
커피,2
해결,2
용시,2
새만금,2
목적지,2
이거,2
차비,2
가실,2
무궁화,2
해변,2
착용,2
풍력,2
참,2
명품,2
의정부,2
자격증,1
전주곡,1
정감,1
횡설수설,1
전환,1
장점,1
제공,1
정확,1
후반,1
저택,1
정책,1
자극,1
전화,1
환급,1
힐,1
정동,1
제과,1
효자동,1
제발,1
적극,1
정류장,1
입장표,1
잠자리,1
전제,1
전용,1
휴무일,1
제너,1
장군,1
전완,1
전골,1
전역,1
횡리,1
잠,1
잔치국수,1
장지,1
절감,1
장덕진,1
정서,1
휴무,1
전전주,1
자체,1
황지,1
희망,1
전주국,1
장터,1
전망,1
정오,1
저기,1
정신,1
회사원,1
장사,1
재정리,1
환절기,1
자리,1
자료실,1
정상,1
자문,1
후회,1
자신,1
전시관,1
흐노,1
정식,1
저질,1
황남동,1
전한옥,1
자금,1
자녀,1
전당,1
장단점,1
전통찻집,1
휴식,1
휴일,1
잔소리,1
휴양,1
전수,1
정원,1
전통술,1
휴상,1
지정일,1
제안,1
취소,1
치킨,1
칠순,1
칠월,1
침,1
카,1
플랫,1
카메라,1
카트라이더,1
카페이,1
칼,1
프라이빗,1
캐슬,1
캘리포니아,1
컨셉,1
컨텐츠,1
컴퓨터,1
케리어,1
케이티엑스,1
켄들,1
켄싱,1
켈로그,1
코너,1
코레,1
코스로,1
코아,1
풀코스,1
코트,1
콜,1
표랑,1
층,1
취사,1
콩코드,1
충분,1
하멜,1
체증,1
체크아웃,1
하룻밤,1
하단,1
초록,1
초창기,1
하늘,1
촌은,1
총액,1
최소,1
하나하나,1
최초,1
추,1
핑장,1
추도,1
핑,1
추진,1
추천요,1
축구,1
축물,1
축하,1
피처,1
출근,1
피자,1
피아,1
출입,1
출장,1
출처,1
콩나물,1
쿠팡,1
하이킹,1
통합,1
퇴사,1
퇴실,1
평지,1
투숙,1
평상시,1
트,1
트랜드,1
트레,1
트로트,1
트립,1
특가,1
편의,1
특산물,1
편백,1
티,1
티머니,1
티셔츠,1
팀,1
팀조,1
페이스북,1
페스타,1
파손,1
파일,1
패키지,1
파티,1
패스트푸드,1
팔,1
팔찌,1
패스,1
퇴근,1
통일호,1
퀄리티,1
폐렴,1
크기,1
큰아이,1
키덜트,1
폴라로이드,1
킹,1
타운,1
탈출,1
폰,1
탑승,1
태교,1
태릉,1
태의,1
포토,1
포장마차,1
턴,1
테디,1
테이,1
텍스,1
포스터,1
포석정,1
텔리어,1
토글,1
토대,1
포석,1
토종,1
톨,1
톨게이트,1
폐장,1
