rank,title,subtitle,writer,price,grade,image
141,별에게,,토마 피케티,"15,120",9.5,https://image.yes24.com/goods/144164150/L
142,빅 사이클,,마이클 샌델,"34,200",10.0,https://image.yes24.com/goods/146890101/L
143,해커스 토익 RC Reading(리딩) 기본서,,장경덕,"16,920",10.0,https://image.yes24.com/goods/116020437/L
144,토마토 컵라면,,이슬아,"8,100",9.3,https://image.yes24.com/goods/125829847/L
145,너를 찾는 파도 2 특별판,,은소홀,"34,200",9.5,https://image.yes24.com/momo/PD_19_L.gif
146,장돌이네 떡집,,노인경,"11,700",10.0,https://image.yes24.com/goods/145417166/L
147,데미안,,심우철,"7,200",10.0,https://image.yes24.com/goods/176787/L
148,죽이고 싶은 아이,,박준철,"11,250",,https://image.yes24.com/goods/101864763/L
149,회복탄력성의 뇌과학,,크리스틴 로젠,"17,910",,https://image.yes24.com/goods/146524929/L
150,평생 투자자,,이영래,"19,800",,https://image.yes24.com/goods/145392475/L
